Name_RN;Name_RN_Lat;UdA_TRO;UdA_GRO;Vid_izluch;Kod_gruppy;Period_p_r;Edinica_izmer_p_r;Num_TM;ObA_GaRO;MOI;D_val;favorite
тритий;H-3;1000000;1000;бета;б;12,3;лет;1;1900;100;2000;0
бериллий-7;Be-7;1000;490;гамма;б;53,3;сут;4;2000;10;1;0
углерод-14;C-14;10000;24;бета;б;5730;лет;6;55;1;50;0
фтор-18;F-18;10;NULL;бета;б;1,83;час;9;1600;10;0,06;0
натрий-22;Na-22;10;4,3;бета;б;2,6;лет;11;72;0,1;0,03;0
натрий-24;Na-24;10;NULL;бета;б;15;час;11;290;NULL;0,02;0
кремний-31;Si-31;1000;85;бета;б;2,62;час;14;1100;1000;10;0
фосфор-32;P-32;1000;5,7;бета;б;14,3;сут;15;34;1000;10;0
фосфор-33;P-33;100000;57;бета;б;25,4;сут;15;72;1000;200;0
сера-35;S-35;100000;17,8;бета;б;87,4;сут;16;76;100;60;0
хлор-36;Cl-36;10000;15;бета;б;301000;лет;17;16;1;20;0
аргон-37;Ar-37;1000000;NULL;гамма;б;35;сут;18;NULL;NULL;-1;0
аргон-41;Ar-41;100;NULL;бета;б;1,827;час;18;510;NULL;0,05;0
калий-40;K-40;100;2,2;бета;б;1280000000;лет;19;31;NULL;-1;0
калий-42;K-42;100;31;бета;б;12,4;час;19;520;100;0,2;0
калий-43;K-43;10;NULL;бета;б;22,6;час;19;540;10;0,07;0
кальций-45;Ca-45;10000;19;бета;б;163;сут;20;30;100;100;0
кальций-47;Ca-47;10;86;бета;б;4,53;сут;20;53;10;0,06;0
скандий-46;Sc-46;10;9,1;бета;б;83,8;сут;21;16;0,1;0,03;0
скандий-47;Sc-47;100;25;бета;б;3,35;сут;21;150;100;0,7;0
скандий-48;Sc-48;10;8,1;бета;б;1,82;сут;21;89;1;0,02;0
ванадий-48;V-48;10;6,9;бета;б;16,2;сут;23;45;1;0,02;0
хром-51;Cr-51;1000;360;гамма;б;27,7;сут;24;2500;100;2;0
марганец-52;Mn-52;10;7,6;бета;б;5,59;сут;25;77;1;0,02;0
марганец-53;Mn-53;10000;460;гамма;б;3700000;лет;25;1500;100;-1;0
марганец-54;Mn-54;10;NULL;гамма;б;312;сут;25;72;0,1;0,08;0
марганец-56;Mn-56;10;NULL;бета;б;2,58;час;25;680;10;0,04;0
железо-52;Fe-52;10;9,7;бета;б;8,28;час;26;120;10;0,02;0
железо-55;Fe-55;10000;42;гамма;б;2,7;лет;26;310;1000;800;0
железо-59;Fe-59;10;7,6;бета;б;44,5;сут;26;30;1;0,06;0
кобальт-55;Co-55;10;NULL;бета;б;17,5;час;27;160;10;0,03;0
кобальт-56;Co-56;10;5,5;бета;б;78,7;сут;27;24;0,1;0,02;0
кобальт-57;Co-57;100;65;гамма;б;271;сут;27;200;1;0,7;0
кобальт-58;Co-58;10;NULL;бета;б;70,8;сут;27;68;1;0,07;0
кобальт-58м;Co-58m;10000;570;гамма;б;9,15;час;27;6900;10000;0,07;0
кобальт-60;Co-60;10;4;бета;б;5,27;лет;27;11;0,1;0,03;0
никель-59;Ni-59;10000;220;бета;б;75000;лет;28;850;100;1000;0
никель-63;Ni-63;100000;91;бета;б;96;лет;28;260;100;60;0
никель-65;Ni-65;10;NULL;бета;б;2,52;час;28;1000;10;0,1;0
медь-64;Cu-64;100;NULL;бета;б;12,7;час;29;920;100;0,3;0
цинк-65;Zn-65;10;3,5;бета;б;244;сут;30;72;0,1;0,1;0
цинк-69м;Zn-69m;100;41;гамма;б;13,8;час;30;350;10;0,2;0
галлий-72;Ga-72;10;NULL;бета;б;14,1;час;31;150;10;0,03;0
германий-71;Ge-71;10000;1140;гамма;б;11,8;сут;32;6100;10000;1000;0
мышьяк-73;As-73;1000;53;гамма;б;80,3;сут;33;110;1000;40;0
мышьяк-74;As-74;10;NULL;бета;б;17,8;сут;33;53;10;0,09;0
мышьяк-76;As-76;100;8,6;бета;б;1,1;сут;33;110;10;0,2;0
мышьяк-77;As-77;1000;34;бета;б;1,62;сут;33;270;1000;8;0
селен-75;Se-75;100;5,3;гамма;б;120;сут;34;77;1;0,2;0
бром-82;Br-82;10;NULL;бета;б;1,47;сут;35;170;1;0,03;0
криптон-81;Kr-81;10000;NULL;бета;б;209900;лет;36;130000;NULL;30;0
