id;cod;description;section
1;" ";нет данных о коде;-1
2;01;газы, аэрозоли;0
3;11;воды загрязненные подземные, в т.ч. грунтовые и дренажных систем;1
4;12;воды охлаждения реакторного производства, контурные воды, воды цистерн биологической защиты;1
5;13;растворы хвостовые;1
6;14;конденсаты после упаривания, газоочистки, конденсаты технологические прочие;1
7;15;растворы регенерационные (сливы), растворы промывки экстрагентов, сорбентов;1
8;16;воды лабораторий, трапные, обмывочные воды, растворы после дезактивации, включая воды санпропускников и спецпрачечных, сточные воды прочие;1
9;17;воды бассейнов-хранилищ;1
10;18;воды промысловые;1
11;19;жидкости неорганические прочие;1
12;21;экстрагенты;2
13;22;масла;2
14;23;эмульсии смазочно-охлаждающих жидкостей (СОЖ);2
15;24;моющие средства (детергенты) за исключением спиртов;2
16;25;спирты;2
17;26;сцинцилляторы органические жидкостные;2
18;29;жидкости органические прочие;2
19;31;хвосты гидрометаллургического, химико-металлургического, разделительного и сублиматного производств, пульпы, образующиеся после нейтрализации;3
20;32;пульпы отработавших ионообменных смол и др. сорбентов органических;3
21;33;шламы и пульпы отработавших сорбентов неорганических, фильтрующих материалов;3
22;34;солевой остаток с солесодержанием до 250 г/л, кубовый остаток;3
23;35;кубовый остаток после упаривания с солесодержанием более 250 г/л, концентрат солевой;3
24;36;взвеси, содержащие продукты коррозии;3
25;37;илы, иловые осадки водоемов-накопителей, осадки, кеки;3
26;38;шламы после очистки трапных вод;3
27;39;прочие пульпы, шламы технологические;3
28;41;сталь нержавеющая: крупногабаритные изделия и оборудование;4
29;42;сталь нержавеющая, кроме крупногабаритных изделий;4
30;43;металлы черные, кроме нержавеющей стали: крупногабаритные изделия и оборудование;4
31;44;металлы черные, кроме нержавеющей стали и крупногабаритных изделий;4
32;45;лом черных металлов;4
33;46;металлы щелочные, в т.ч. отработавший теплоноситель;4
34;51;алюминий и его сплавы, изделия и оборудование из алюминия и его сплавов;4
35;52;уран металлический обедненный и изделия из него;4
36;53;медь, латуни, медно-никелевые и др. сплавы меди;4
37;54;никель и его сплавы, кроме медно-никелевых сплавов, отнесенных к коду 53;4
38;55;свинец и его сплавы;4
39;56;цирконий и его сплавы;4
40;57;лом цветных металлов прочих, не перечисленных в пунктах 51-57;4
41;58;лом цветных металлов несортированный;4
42;59;металлический лом прочий;4
43;61;сорбенты и фильтроматериалы неорганические;6
44;62;песок;6
45;63;теплоизоляционные материалы неорганические;6
46;64;изделия из стекла и керамики, лабораторная посуда;6
47;65;отходы плавильного производства (включая шлаки, футеровку .);6
48;66;зола;6
49;67;плав солевой;6
50;68;рудные материалы;6
51;69;ТРО неорганические прочие;6
52;71;смолы отработанные ионообменные;7
53;72;уголь активированный, сульфоуголь;7
54;73;полимеры;7
55;74;сажа;7
56;75;спецодежда и другие средства индивидуальной защиты, обувь, обтирочные материалы, ветошь, вата, фильтроэлементы(фильтровальная ткань) фильтров вентиляции и т.п.;7
57;76;графит;7
58;77;древесина, бумага, картон;7
59;78;ТРО биологические;7
60;79;ТРО органические прочие;7
61;81;отработавшие ЗРИ без защитного контейнера (без биологической защиты);8
62;82;отработавшие ЗРИ в защитном контейнере (с биологической защитой);8
63;84;открытые радионуклидные источники в виде отдельных изделий;8
64;85;радиоизотопные термоэлектрические генераторы (РИТЭГ);8
65;86;дымо-, пожароизвещатели;8
66;87;приборы и установки с массой менее 30 кг, содержащие отработавшие ЗРИ;8
67;88;приборы и установки с массой 30 кг и более, содержащие отработавшие ЗРИ;8
68;89;прочие объекты учета, содержащие отработавшие ЗРИ;8
69;91;фильтры вентиляционные в сборе;9
70;92;электрокабели;9
71;93;стройматериалы, строительный и прочий мусор;9
72;95;ИК (ионизационные камеры), не содержащие отработавшие ЗРИ;9
73;96;загрязненный грунт, включая керны;9
74;97;поглощающие элементы (стержни-поглотители);9
75;98;канал измерения нейтронного потока и температуры;9
76;99;прочие типы РАО;9
